ID,Título
GFDEGDQ188S,Federal Debt: Total Public Debt as Percent of Gross Domestic Product
FYFSGDA188S,Federal Surplus or Deficit [-] as Percent of Gross Domestic Product
FYFSDFYGDP,Federal Surplus or Deficit [-] as Percent of Gross Domestic Product
GFDGDPA188S,Gross Federal Debt as Percent of Gross Domestic Product
GDP,Gross Domestic Product
FYONGDA188S,Federal Net Outlays as Percent of Gross Domestic Product
FYOIGDA188S,Federal Outlays: Interest as Percent of Gross Domestic Product
FYFRGDA188S,Federal Receipts as Percent of Gross Domestic Product
GDPC1,Real Gross Domestic Product
FYGFGDQ188S,Federal Debt Held by the Public as Percent of Gross Domestic Product
GDPCA,Real Gross Domestic Product
A191RL1Q225SBEA,Real Gross Domestic Product
GDPA,Gross Domestic Product
A191RP1Q027SBEA,Gross Domestic Product
NA000334Q,Gross Domestic Product
A191RO1Q156NBEA,Real Gross Domestic Product
A191RL1A225NBEA,Real Gross Domestic Product
FYGDP,Gross Domestic Product
ND000334Q,Real Gross Domestic Product
A191RP1A027NBEA,Gross Domestic Product
OB000334Q,Real Gross Domestic Product
NC000334Q,Gross Domestic Product
NB000334Q,Real Gross Domestic Product
PCEC,Personal Consumption Expenditures
JHDUSRGDPBR,Dates of U.S. recessions as inferred by GDP-based recession indicator
HDTGPDUSQ163N,Household Debt to GDP for United States
PCECA,Personal Consumption Expenditures
NA000349Q,Personal Consumption Expenditures
NC000349Q,Personal Consumption Expenditures
PCECTPI,Personal Consumption Expenditures: Chain-type Price Index
GDPDEF,Gross Domestic Product: Implicit Price Deflator
USAB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for United States
A939RX0Q048SBEA,Real gross domestic product per capita
PCECC96,Real Personal Consumption Expenditures
DPCERG3A086NBEA,Personal Consumption Expenditures: Chain-type Price Index
A091RC1Q027SBEA,Federal government current expenditures: Interest payments
FYPUGDA188S,Gross Federal Debt Held by the Public as Percent of Gross Domestic Product
DPCERL1Q225SBEA,Real Personal Consumption Expenditures
GDPPOT,Real Potential Gross Domestic Product
PCECCA,Real Personal Consumption Expenditures
BPCCRO1Q156NBEA,Personal Consumption Expenditures Excluding Food and Energy (Chain-Type Price Index)
DDDM01USA156NWDB,Stock Market Capitalization to GDP for United States
A191RI1Q225SBEA,Gross Domestic Product: Implicit Price Deflator
ND000349Q,Real Personal Consumption Expenditures
DPCERO1Q156NBEA,Real Personal Consumption Expenditures
DPCERL1A225NBEA,Real Personal Consumption Expenditures
DPCCRG3A086NBEA,Personal consumption expenditures excluding food and energy (chain-type price index)
NB000349Q,Real Personal Consumption Expenditures
NA000308Q,Federal government current expenditures: Interest payments
OB000349Q,Real Personal Consumption Expenditures
STLENI,St. Louis Fed Economic News Index: Real GDP Nowcast
JHGDPBRINDX,GDP-Based Recession Indicator Index
GDPNOW,GDPNow
DPCERE1Q156NBEA,Shares of gross domestic product: Personal consumption expenditures
A191RI1A225NBEA,Gross Domestic Product: Implicit Price Deflator
HBFIGDQ188S,Federal Debt Held by Foreign and International Investors as Percent of Gross Domestic Product
DPIC96,Real Disposable Personal Income
A067RO1Q156NBEA,Real Disposable Personal Income
A067RX1A020NBEA,Real disposable personal income
A067RL1Q156SBEA,Real Disposable Personal Income
A067RL1A156NBEA,Real Disposable Personal Income
DPCERE1A156NBEA,Shares of gross domestic product: Personal consumption expenditures
PSAVE,Personal Saving
LABSHPUSA156NRUG,Share of Labour Compensation in GDP at Current National Prices for United States
A071RC1A027NBEA,Personal saving
CP,Corporate Profits After Tax (without IVA and CCAdj)
DPCCRV1Q225SBEA,Personal Consumption Expenditures (PCE) Excluding Food and Energy (Chain-Type Price Index)
W006RC1Q027SBEA,Federal government current tax receipts
FGEXPND,Federal Government: Current Expenditures
DPCCRV1A225NBEA,Personal Consumption Expenditures (PCE) Excluding Food and Energy (chain-type price index)
DPI,Disposable Personal Income
B230RC0A052NBEA,Population
GDI,Gross Domestic Income
A261RX1Q020SBEA,Real gross domestic income
B230RC0Q173SBEA,Population
GEPUCURRENT,Global Economic Policy Uncertainty Index: Current Price Adjusted GDP
PB0000091Q225SBEA,Real Average of GDP and GDI
NGDPSAXDCUSQ,Nominal Gross Domestic Product for United States
W006RC1A027NBEA,Federal government current tax receipts
A067RC1A027NBEA,Disposable personal income
NA000327Q,Federal government current tax receipts
NA000283Q,Federal Government: Current Expenditures
LB0000091Q020SBEA,Real Average of GDP and GDI
A067RP1Q027SBEA,Disposable Personal Income
JPNRGDPEXP,Real Gross Domestic Product for Japan
NGDPNSAXDCUSQ,Nominal Gross Domestic Product for United States
CHNGDPNQDSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Domestic Product: Total for China
A067RP1A027NBEA,Disposable Personal Income
A229RX0A048NBEA,Real Disposable Personal Income: Per Capita
HBFRGDQ188S,Federal Debt Held by Federal Reserve Banks as Percent of Gross Domestic Product
NYGDPPCAPKDUSA,Constant GDP per capita for the United States
PE0000091Q156NBEA,Real Average of GDP and GDI
NGDPXDCUSA,Nominal Gross Domestic Product for United States
GPDI,Gross Private Domestic Investment
A229RX0Q048SBEA,Real Disposable Personal Income: Per Capita
PINCOME,Personal Income
LB0000091A020NBEA,Real average of GDP and GDI
USAGDPDEFQISMEI,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for United States
USAGDPDEFAISMEI,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for United States
PB0000091A225NBEA,Real average of GDP and GDI
A261RX1A020NBEA,Real gross domestic income
GPDIC1,Real Gross Private Domestic Investment
GNP,Gross National Product
CLVMNACSCAB1GQDE,Real Gross Domestic Product for Germany
A006RE1Q156NBEA,Shares of gross domestic product: Gross private domestic investment
NGDPRXDCJPA,Real Gross Domestic Product for Japan
A065RC1A027NBEA,Personal income
CHNGDPNADSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Domestic Product: Total for China
NGDPRSAXDCJPQ,Real Gross Domestic Product for Japan
NYGDPPCAPKDCHN,Constant GDP per capita for China
PCDG,Personal Consumption Expenditures: Durable Goods
NGDPRNSAXDCJPQ,Real Gross Domestic Product for Japan
MKTGDPCNA646NWDB,Gross Domestic Product for China
GPDIA,Gross Private Domestic Investment
HBPIGDQ188S,Federal Debt Held by Private Investors as Percent of Gross Domestic Product
NYGDPPCAPKDJPN,Constant GDP per capita for Japan
DEBTTLJPA188A,"Central government debt, total (% of GDP) for Japan"
NA000335Q,Gross Private Domestic Investment
NC000335Q,Gross Private Domestic Investment
RGDPNACNA666NRUG,Real GDP at Constant National Prices for China
A006RE1A156NBEA,Shares of gross domestic product: Gross private domestic investment
NGDPRXDCDEA,Real Gross Domestic Product for Germany
A006RL1Q225SBEA,Real Gross Private Domestic Investment
GNPA,Gross National Product
NGDPRSAXDCDEQ,Real Gross Domestic Product for Germany
GPDICA,Real Gross Private Domestic Investment
B006RO1Q156NBEA,Real Gross Private Domestic Investment
PCDGA,Personal Consumption Expenditures: Durable Goods
CLVMNACNSAB1GQDE,Real Gross Domestic Product for Germany
A001RP1A027NBEA,Gross National Product
NC000346Q,Personal Consumption Expenditures: Durable Goods
A006RL1A225NBEA,Real Gross Private Domestic Investment
ND000335Q,Real Gross Private Domestic Investment
NA000346Q,Personal Consumption Expenditures: Durable Goods
A001RP1Q027SBEA,Gross National Product
NGDPRNSAXDCDEQ,Real Gross Domestic Product for Germany
NGDPRSAXDCCAQ,Real Gross Domestic Product for Canada
NB000335Q,Real Gross Private Domestic Investment
OB000335Q,Real Gross Private Domestic Investment
VAPGDPMA,Value Added by Industry: Manufacturing as a Percentage of GDP
A792RC0Q052SBEA,Personal income per capita
NAEXKP01INQ652S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for India
PCESV,Personal Consumption Expenditures: Services
A792RC0A052NBEA,Personal income per capita
NETEXP,Net Exports of Goods and Services
M318501Q027NBEA,Federal government budget surplus or deficit (-)
UKNGDP,Gross Domestic Product for United Kingdom
JPNNGDP,Gross Domestic Product for Japan
USALORSGPNOSTSAM,Composite Leading Indicators: Reference Series (GDP) Normalized for United States
MKTGDPJPA646NWDB,Gross Domestic Product for Japan
MKTGDPGBA646NWDB,Gross Domestic Product for United Kingdom
INDGDPRQPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for India
W068RCQ027SBEA,Government total expenditures
GDPC1CTM,"FOMC Summary of Economic Projections for the Growth Rate of Real Gross Domestic Product, Central Tendency, Midpoint"
NAEXKP01INQ657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for India
NGDPRXDCCAA,Real Gross Domestic Product for Canada
NAEXKP01INQ661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for India
NAEXKP01INA652S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for India
A939RC0Q052SBEA,Gross domestic product per capita
NAEXKP01INA657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for India
INDGDPRAPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for India
NAEXKP01INA661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for India
A939RC0A052NBEA,Gross domestic product per capita
PCESVA,Personal Consumption Expenditures: Services
NC000350Q,Personal Consumption Expenditures: Services
NA000350Q,Personal Consumption Expenditures: Services
M318501A027NBEA,Federal government budget surplus or deficit (-)
CPGDPAI,Contributions to Percent Change in Real GDP by Industry: Gross Domestic Product
A822RE1Q156NBEA,Shares of gross domestic product: Government consumption expenditures and gross investment
A019RC1A027NBEA,Net exports of goods and services
NA000374Q,Net exports of goods and services
CLVMNACSCAB1GQIT,Real Gross Domestic Product for Italy
W068RC1A027NBEA,Government total expenditures
IMPGS,Imports of Goods and Services
A822RE1A156NBEA,Shares of gross domestic product: Government consumption expenditures and gross investment
W398RC1A027NBEA,Household saving
A053RC1Q027SBEA,National income: Corporate profits before tax (without IVA and CCAdj)
CLVMNACSCAB1GQFR,Real Gross Domestic Product for France
PCND,Personal Consumption Expenditures: Nondurable Goods
NYGDPPCAPKDCAN,Constant GDP per capita for Canada
IMPGSA,Imports of Goods and Services
PCDGCC96,Real Personal Consumption Expenditures: Durable Goods
GCEC1,Real Government Consumption Expenditures and Gross Investment
EXPGS,Exports of Goods and Services
NGDPRXDCITA,Real Gross Domestic Product for Italy
NGDPRSAXDCITQ,Real Gross Domestic Product for Italy
DGDSRX1Q020SBEA,Real personal consumption expenditures: Goods
NGDPRNSAXDCITQ,Real Gross Domestic Product for Italy
NA000342Q,Imports of Goods and Services
CLVMNACNSAB1GQIT,Real Gross Domestic Product for Italy
NC000342Q,Imports of Goods and Services
A072RC1Q156SBEA,Personal saving as a percentage of disposable personal income
PNFIC1,Real Private Nonresidential Fixed Investment
ND000346Q,Real Personal Consumption Expenditures: Durable Goods
NGDPRSAXDCFRQ,Real Gross Domestic Product for France
NGDPRXDCFRA,Real Gross Domestic Product for France
PCNDA,Personal Consumption Expenditures: Nondurable Goods
OB000346Q,Real Personal Consumption Expenditures: Durable Goods
A019RE1Q156NBEA,Shares of gross domestic product: Net exports of goods and services
PCDGCCA,Real Personal Consumption Expenditures: Durable Goods
DGDSRX1A020NBEA,Real personal consumption expenditures: Goods
DGDSRO1Q156NBEA,Real Personal Consumption Expenditures: Goods
DGDSRL1Q225SBEA,Real Personal Consumption Expenditures: Goods
NA000348Q,Personal Consumption Expenditures: Nondurable Goods
NGDPRNSAXDCFRQ,Real Gross Domestic Product for France
EXPGSA,Exports of Goods and Services
NC000348Q,Personal Consumption Expenditures: Nondurable Goods
CLVMNACNSAB1GQFR,Real Gross Domestic Product for France
ND000347Q,Real Personal Consumption Expenditures: Goods
DGDSRL1A225NBEA,Real Personal Consumption Expenditures: Goods
NB000346Q,Real Personal Consumption Expenditures: Durable Goods
NB000347Q,Real Personal Consumption Expenditures: Goods
OB000347Q,Real Personal Consumption Expenditures: Goods
A019RE1A156NBEA,Shares of gross domestic product: Net exports of goods and services
PCESVC96,Real Personal Consumption Expenditures: Services
A822RL1Q225SBEA,Real Government Consumption Expenditures and Gross Investment
GCECA,Real Government Consumption Expenditures and Gross Investment
A822RL1A225NBEA,Real Government Consumption Expenditures and Gross Investment
A822RO1Q156NBEA,Real Government Consumption Expenditures and Gross Investment
NA000352Q,Exports of Goods and Services
ND000333Q,Real Government Consumption Expenditures and Gross Investment
OB000333Q,Real Government Consumption Expenditures and Gross Investment
NC000352Q,Exports of Goods and Services
NB000333Q,Real Government Consumption Expenditures and Gross Investment
NGDPPOT,Nominal Potential Gross Domestic Product
PNFI,Private Nonresidential Fixed Investment
PRFIC1,Real Private Residential Fixed Investment
DPCERD3Q086SBEA,Personal consumption expenditures (implicit price deflator)
CLVMEURSCAB1GQEA19,Real Gross Domestic Product (Euro/ECU Series) for Euro Area (19 Countries)
RGDPNARUA666NRUG,Real GDP at Constant National Prices for Russian Federation
